404: TT=122 | TEN=Tạo phiếu kiểm kê tài sản | PATH=http://localhost:4000/tai-san/kiem-ke
407: TT=123 | TEN=Thực hiện kiểm kê tài sản thực địa | PATH=http://localhost:4000/tai-san/kiem-ke
411: TT=124 | TEN=So sánh kết quả kiểm kê | PATH=http://localhost:4000/tai-san/kiem-ke
414: TT=125 | TEN=Cập nhật dữ liệu sau kiểm kê | PATH=http://localhost:4000/tai-san/kiem-ke
418: TT=126 | TEN=Báo cáo kết quả kiểm kê | PATH=http://localhost:4000/tai-san/kiem-ke
421: TT=127 | TEN=Quản lý lịch sử kiểm kê | PATH=http://localhost:4000/tai-san/kiem-ke
425: TT=128 | TEN=Đề xuất xử lý tài sản sau kiểm kê | PATH=
429: TT=V.5. | TEN=Quản lý kho tài sản trên các tuyến | PATH=
430: TT=129 | TEN=Khai báo kho tài sản trên tuyến | PATH=
432: TT=130 | TEN=Danh mục tài sản thu hồi lưu kho | PATH=
434: TT=131 | TEN=Cập nhật thông tin tài sản thu hồi theo từng tài sản | PATH=
436: TT=132 | TEN=Cập nhật thông tin tài sản thu hồi đồng loạt | PATH=
438: TT=133 | TEN=Hiển thị danh mục tài sản thu hồi lưu kho | PATH=
440: TT=134 | TEN=Quản lý điều chuyển kho | PATH=
442: TT=135 | TEN=Cập nhật thông tin tài sản chuyển kho theo từng tài sản | PATH=
444: TT=136 | TEN=Cập nhật thông tin tài sản chuyển kho đồng loạt | PATH=
446: TT=137 | TEN=Hiển thị danh mục tài sản đã chuyển kho | PATH=
448: TT=138 | TEN=Tìm kiếm tài sản đã chuyển kho, truy xuất tình trạng | PATH=
450: TT=139 | TEN=Báo cáo thống kê tài sản lưu kho, điều chuyển kho | PATH=
452: TT=V.6. | TEN=Quản lý hợp đồng khai thác | PATH=
453: TT=140 | TEN=Khai báo thông tin hợp đồng | PATH=
456: TT=141 | TEN=Cập nhật thông tin hợp đồng | PATH=
458: TT=142 | TEN=Tìm kiếm thông tin hợp đồng | PATH=
460: TT=V.7. | TEN=Quản lý hồ sơ quản lý khai thác | PATH=
461: TT=143 | TEN=Thêm mới hồ sơ tài liệu | PATH=
464: TT=144 | TEN=Cập nhật thông tin hồ sơ | PATH=
